tax_id	species	genus	family	order	class	phylum	superkingdom	barcode75	barcode31	barcode40	barcode18	barcode45	barcode21	barcode86	barcode94	barcode79	barcode84	barcode34	barcode58	barcode29	barcode52	barcode33	barcode35	barcode02	barcode82	barcode87	barcode05	barcode55	barcode25	barcode68	barcode54	barcode24	barcode03	barcode14	barcode56	barcode28	barcode59	barcode96	barcode13	barcode76	barcode19	barcode48	barcode74	barcode72	barcode16	barcode65	barcode50	barcode46	barcode77	barcode44	barcode70	barcode88	barcode90	barcode17	barcode95	barcode63	barcode64	barcode20	barcode41	barcode22	barcode30	barcode43	barcode60	barcode23	barcode92	barcode80	barcode93	barcode81	barcode01	barcode38	barcode71	barcode85	barcode61	barcode78	barcode15	barcode04	barcode62	barcode08	barcode83	barcode51	barcode91	barcode66	barcode09	barcode67	barcode10	barcode47	barcode27	barcode12	barcode69	barcode42	barcode37	barcode53	barcode39	barcode07	barcode49	barcode36	barcode32	barcode73	barcode89	barcode06	barcode26	barcode57	barcode11
10080																											23.238703461515083							24.18286668017282																									19.84795149299148																																			23.4826770103459						25.979147398140128			
10126																				13.137738135134438						11.303532008830022	10.100382834757834									10.302654428181592											14.503871966831582	13.359936533121775			10.246913580246916																							16.592421174428694													18.35276724791509					11.304044943820225											
10134																																																																							15.735603078710133																																
10216										14.47417037290455			15.027207962454051							28.268362219586123							11.567736768054424						17.728070997331518									14.16791575076432																11.535957296303804			22.42261719962745			21.60152502687527						33.126602726558225		21.53001323273348		14.30785144780356		21.95173930036155							12.08108590558911								25.97983612500682						19.49858214451773						
10218																																																																																														23.452883149479074						11.63062052319168			18.326430895532432
1024															89.00967150189734																																								49.03825863913647																																																
10251																																																																							11.096358846174784																																
10283																							49.67929202550624																																									30.38501135645331																																							
10329																																																																																																				15.577187701177424			
10474								15.499641153165571	41.45057532127149	17.575778309955528		21.679616340049684		18.34813370913608		18.34866828087167	17.054099155778665		15.688689809629118	52.55104450174268	14.512577373878967	23.49647231811916		11.18035299226204		32.8829998145413	24.74861629502732	14.360993905297704			18.69703628334895	80.07392966137323			14.286321381168465	25.75659536419572						34.832861612423066	14.38528799732494				18.657504032815304	21.581435938119792	18.412767918577465	14.71033883521092		13.2898683997988					13.14565480043558		15.32777678866589			13.2996570993142	18.25651208970872	70.90112391747337		20.66591784090139		12.320207002507033		41.67186188986015	64.3875193924103	25.63089253192358	18.757828075501923	10.37026327687841		16.215902370840276	13.015147841350723	11.23183054192931	14.358523725847464	20.665119427365436	1.1153846153846154	12.46744681493798	23.35415299474488	31.79569112365189		11.451603236439915	21.27969359934473				12.470273563738523	25.690054653837304	22.595257945688285	21.45565961382087	31.6557190270975		18.464399092970524	11.258862473668373		13.21001674107143	24.810529812465475		
10480											15.194759384637065												29.27210091419161	10.163957252758983								11.167283288839394	16.881256455849314	21.46530549636861							12.539826425253588																	12.484778025565882																11.40858890620018		24.93012955197329		14.295373063548446					12.187044187208905																	11.198967510222433			
10668								138.07294265367003	146.07364182081915	250.3117496169046	322.3695453583901	106.07088516031412	248.1369413238476	271.91829622197133		147.7527629530734	87.50047110742115	176.3737199970445	82.9100559266258	648.5514879868642	152.60144580877864	320.9339729001428	80.49921639639358	411.9970626483879	89.22023424351217	104.083167380729	624.8241999872599	136.4294420722251	299.2772769657493	81.44190318534552	60.0966119525349	829.0608999569001	299.97452938836267	314.660453676098	134.69948565679144	272.92024323543467	57.05949361490735		288.3629571834478	156.97292523529546	139.27516617850895	227.0608435781407	188.0184595621523	144.4703061657735	336.6650840964824	66.12061429948321	171.75686786860808	126.88698399273964	152.1483592687408	171.2286234846616	208.1882179850093	194.271432618618	62.04704468088334	116.24131457755092		71.0594282489799	47.50308959397466	310.6898925600356	296.534288220387	337.8233369158772	481.0780124370821	287.9640926858283	205.63698032673267	492.1469838039061		156.96508510835494		118.40840031380657	177.02024965327664	453.7822327887173	651.7089507705549	165.04582056664125	67.03117352258535	155.18649511917064	151.1468512133956	434.8496533308567	84.26335909505964	286.02022070801974	94.42631874295397	95.29632848775196		134.39114970171715	556.4481443975939	158.2397978511431	427.0333687626473	97.86672463280736	432.657636399984	134.9882961129786		167.24620229439864	196.67295556978087	162.3672147505292	267.2882924463608	386.8631688114028	215.4631226728746	121.9433046308442	300.05472806080405	182.78957884481463	109.43490436317354	387.2521710111838	185.6274630287777	76.791718039686	479.8144182624911
10689								36.16379491071628	29.360690875014978	79.30380700014321	316.5072022069338	84.9832446692234	132.2444554377574	37.78272250538505		29.8987571286299	50.12125903725138	32.140779750893635	104.6871323819931	79.4755888104726	128.7503055634607	35.89664641599792	28.195257579181263	305.75652920148536	14.568524019017431	24.3592429428038	264.1005017794766	51.55795731344993	54.54242222940535	21.944675798980526	24.638544297275423	139.25259408724853	299.955735982514	209.7323551823715	107.15660865350692	90.0179538613225	48.70763550512114		129.858404604847	17.414146657635904	104.85393594946233	350.4578613364122	31.877199767370428	45.94370292876913	156.23978915484537	108.45682539329616	60.84363710675985	32.371346422727655	78.03386365878669	35.6627198272299	35.97275554124084	47.25664645470217	14.72461867391768	55.148930359721		27.224709540973706	18.396025500569102	135.21881555864664	39.06087840324653	148.18549643394766	84.41974647941262	41.97915528240354	47.7900400249534	106.871965767783	1.0172413793103448	84.86202108346956		41.15737951388045	143.47625306519555	84.51598711630108	326.7468770303339	34.858804074232694	22.829658755474515	188.7377059998742	161.2939064796955	324.68620291234186	47.72998035710722	320.38982732584554	36.12612394540057	30.987793395680526	1.1153846153846154	38.844148800992144	366.67775910592127	25.636829006532288	389.0432242589773	27.237797109844102	80.21763972002502	73.25440224725264		59.17158815234871	55.15328541799889	144.2826970442914	54.520262028268455	284.7972731972335	46.04987533702533	34.62557061151192	74.3089068571045	46.46396146025572	50.96011787285208	558.7120665181757	38.23137458949498	27.752329349341085	664.7825529669469
10721																										12.331122783208931																																																																													
10800												13.375556667257122																																																																																											
10860																																																																																																							16.850527870925237
10909																																13.195598594345666																																																			29.446540532900823		21.340683217025813									16.201214267818195									
1091																																																																												13.175420677603505																											
1093															2026.140322523422																																								1071.0068117952069																																																
11												27.87378958958845																				80.92818151721106										36.816356880130485												47.520959734083085				36.99866810611959																	30.057962081495624			46.96961110628351					37.63307305528911		27.49974491451649							17.46108642086678								43.55228766810468			240.29684610569925
1109																								16.30528649928035			18.12669605284028					18.9963705488307													22.307973623159512				14.939234882163587					23.441678082854686				11.382715789855752											13.380750386894626		31.41749945094214				17.541217483618777	12.739065381124156		15.685126879622104					31.57031693513683	11.26985233584066	29.13001170486728									17.365014707862393						26.819641770468177			21.728624517637403
111																																																																																																				25.403878348117523			17.85388616182168
11146																																13.05391383612879																																						11.148081040433237													11.173072713890704																	15.131811227336431			
11177																																																																											17.05953792358148																												
11207											15.401347571875926																							11.73442157208682											15.61756279478335																										14.994905257069902					18.53028185467184							16.001650108904702		16.245796167347905															13.20970742747142			22.08701320403557
11340																																										13.385899000983486																																	19.38985036689371																												
11548																																																																										23.85170408829772																													
11559																																																																							12.97064757373602																																
11564																																35.31852018394639		12.4518850327024								18.797842437067544												31.09477238425714																															20.01155986572015																		92.30518867835076
11574											14.242589211618258									28.29666675259725							21.19616728057697																		46.36609957159329															38.52289417949773																46.50143320900602																								48.56693475054735			16.24455390240187
116																																21.31600750628474																																																																							
11656									24.820251136113782	20.642165616288818	27.46785062240664	51.73952817730478	14.37346839017917	13.460712728242422				20.72131147540388	21.964165733482645	21.21699041660892	12.456645663270615	11.24184431857494	21.954284846685304	22.360705949872678	10.37443511943189	14.202938467556775	51.86208752031418	13.331718761877982	26.980241937555306		16.619135615259193	82.25968255689163	49.97179893754868	30.664162490472464	26.492592777730824	13.409354105024118	16.906536140773767		10.16853226009307		17.538279024471198	78.75778399404912			28.57533594729624	18.891605542588483	17.611844603709155	18.49833820866081						15.840282546845875				30.96747560168298		22.551520945555637	21.403407326709235	10.232403854641191	18.264962109755988	101.98617285329289		10.33295892169448		20.53367827164951	22.58475318858918	86.39212515133529	30.18164363619372	24.60565476190476		31.11078970308127	45.2617392642696	123.18027380090204	17.68613491096514	64.1590418514668	16.409741400954054	20.66545784224841			92.64556776188256	11.282362453817992	28.44628497624328	20.82109679352695	32.7888128158837	22.66890069472824			33.25419827215643	22.60808988764045	31.86583038480746	65.19085087304668	11.232674493485908	12.580998360439482	18.476835138624946			85.66587194507053	34.134217562819494		59.90303907011676
11838																																	10.348383802942458																									14.082479238454608																	15.9735371959423	10.540886343236467		14.960468401384468							15.489789110057728																		
