tax_id	abundance	lineage	estimated counts
18427	0.004843758952816079	Bacteria;Proteobacteria;Gammaproteobacteria;JG36-TzT-191;	102.14518879698547
3987	0.007250340963472347	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidiphilium;	152.89519023770487
11848	0.003018518071864467	Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Pajaroellobacter;	63.654509099477885
928	0.0012697453845434707	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Chitinophaga;	26.77639066925271
7206	0.006773958641274771	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Puia;	142.84923982720238
656	0.0018470027593918863	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;	38.9495941900561
76	0.002283036007637974	Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;	48.144663329069594
15916	0.000864674252830427	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Puia;dinghuensis;	18.234250643688046
6946	0.010582716714237984	Bacteria;RCP2-54;	223.1683300698506
6310	0.002309359692172979	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidisoma;	48.699777188543784
6895	0.001530526918558082	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidisphaera;	32.275751658552835
2736	0.018761164305137593	Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;	395.63543286674155
9591	0.0014034851444070778	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Candidatus Koribacter;	29.596694725256455
2316	0.0029390425683098586	Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;	61.9785296805183
3770	0.0010500149044124654	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum;	22.14271430425007
5248	0.0006328497712004673	Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Schlesneriaceae;Schlesneria;	13.345535975075455
9017	0.0014919683198177961	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;	31.462627928317684
7623	0.011666123724632545	Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;	246.0152171050511
6321	0.0011216494736881865	Bacteria;Armatimonadota;Armatimonadia;Armatimonadales;	23.653344101136476
10689	0.006803691818341975	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;	143.47625306519555
6501	0.0010290084102613157	Bacteria;Actinobacteriota;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;acidiphila;	21.699729355590627
6023	0.0076703325823327395	Bacteria;Actinobacteriota;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;	161.7519734962328
6715	0.005865407834841819	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;	123.68972042114429
7851	0.0016553189308322121	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;	34.907365613389686
4349	0.0012139671128247624	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;	25.60013847524859
1725	0.0035006460154211956	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;	73.82162317320217
1846	0.0013401782324773011	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dyella;	28.261678566481326
16872	0.001993941253186363	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Frateuria;	42.04823314719402
19421	0.0008617626122081043	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terracidiphilus;gabretensis;	18.172849966244502
12976	0.000827572777723688	Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;	17.451854736637134
6091	0.0009632614673866653	Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;	20.313257824249998
12394	0.0012272684226142807	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;mallensis;	25.880636496089952
1109	0.0006345196503648817	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;	13.380750386894626
16531	0.0004868075163643889	Bacteria;Proteobacteria;Gammaproteobacteria;KF-JG30-C25;	10.265796905092234
535	0.001460420840294243	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;	30.797354680124997
4964	0.0008275728087980124	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;	17.451855391932487
1335	0.00131438029403174	Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;	27.71765164054133
5564	0.0012656987200177776	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;	26.691054607734895
327	0.0007596040061468426	Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;	16.018529281624616
